1 1
01.01.1969 00:00:00.00    86400.0    8.  -6. 0.7 2.8e-4  1.5  0.1
7.2083333    0.000    0.000    -5.900    93.000    0.300    90.000
7.2500000    0.000    0.000    -5.900    93.000    0.300    90.000
7.2916667    0.000    0.000    -5.900    93.000    0.300    90.000
7.3333333    0.000    0.000    -5.900    93.000    0.300    90.000
7.3750000    0.000    0.000    -5.900    93.000    0.300    90.000
7.4166667    0.000    0.000    -5.900    93.000    0.300    90.000
7.4583333    0.000    0.000    -5.900    93.000    0.300    90.000
7.5000000    0.000    0.000    -5.900    93.000    0.300    90.000
7.5416667    29.050    29.050    -5.900    93.000    0.300    90.000
7.5833333    29.050    29.050    -5.900    93.000    0.300    90.000
7.6250000    29.050    29.050    -5.900    93.000    0.300    90.000
7.6666667    29.050    29.050    -5.900    93.000    0.300    90.000
7.7083333    29.050    29.050    -5.900    93.000    0.300    90.000
7.7500000    29.050    29.050    -5.900    93.000    0.300    90.000
7.7916667    29.050    29.050    -5.900    93.000    0.300    90.000
7.8333333    29.050    29.050    -5.900    93.000    0.300    90.000
7.8750000    29.050    29.050    -5.900    93.000    0.300    90.000
7.9166667    29.050    29.050    -5.900    93.000    0.300    90.000
7.9583333    29.050    29.050    -5.900    93.000    0.300    90.000
8.0000000    29.050    29.050    -5.900    93.000    0.300    90.000
8.0416667    0.000    0.000    0.000    99.000    0.300    90.000
8.0833333    0.000    0.000    0.000    99.000    0.300    90.000
8.1250000    0.000    0.000    0.000    99.000    0.300    90.000
8.1666667    0.000    0.000    0.000    99.000    0.300    90.000
8.2083333    0.000    0.000    0.000    99.000    0.300    90.000
8.2500000    0.000    0.000    0.000    99.000    0.300    90.000
8.2916667    0.000    0.000    0.000    99.000    0.300    90.000
8.3333333    0.000    0.000    0.000    99.000    0.300    90.000
8.3750000    0.000    0.000    0.000    99.000    0.300    90.000
8.4166667    0.000    0.000    0.000    99.000    0.300    90.000
8.4583333    0.000    0.000    0.000    99.000    0.300    90.000
8.5000000    0.000    0.000    0.000    99.000    0.300    90.000
8.5416667    23.325    23.325    0.000    99.000    0.300    90.000
8.5833333    23.325    23.325    0.000    99.000    0.300    90.000
8.6250000    23.325    23.325    0.000    99.000    0.300    90.000
8.6666667    23.325    23.325    0.000    99.000    0.300    90.000
8.7083333    23.325    23.325    0.000    99.000    0.300    90.000
8.7500000    23.325    23.325    0.000    99.000    0.300    90.000
8.7916667    23.325    23.325    0.000    99.000    0.300    90.000
8.8333333    23.325    23.325    0.000    99.000    0.300    90.000
8.8750000    23.325    23.325    0.000    99.000    0.300    90.000
8.9166667    23.325    23.325    0.000    99.000    0.300    90.000
8.9583333    23.325    23.325    0.000    99.000    0.300    90.000
9.0000000    23.325    23.325    0.000    99.000    0.300    90.000
9.0416667    0.000    0.000    -1.900    99.000    2.000    90.000
9.0833333    0.000    0.000    -1.900    99.000    2.000    90.000
9.1250000    0.000    0.000    -1.900    99.000    2.000    90.000
9.1666667    0.000    0.000    -1.900    99.000    2.000    90.000
9.2083333    0.000    0.000    -1.900    99.000    2.000    90.000
9.2500000    0.000    0.000    -1.900    99.000    2.000    90.000
9.2916667    0.000    0.000    -1.900    99.000    2.000    90.000
